"Parameter attribute_code is required","Parameter attribute_code is required"
Cancel,Cancel
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"Navigation Filters","Navigation Filters"
"The item was moved successfully.","The item was moved successfully."
"Invalid Data","Invalid Data"
"The changes for ""%1"" were saved successfully.","The changes for ""%1"" were saved successfully."
"Can not load Filter with code ""%1""","Can not load Filter with code ""%1"""
"Do not display this warning again.","Do not display this warning again."
"Are you sure?","Are you sure?"
"Improved Layered Navigation","Improved Layered Navigation"
"Manage Navigation Filters","Manage Navigation Filters"
"Improved Layered Navigation: Quick Config","Improved Layered Navigation: Quick Config"
Information,Information
"Sidebar Block","Sidebar Block"
Edit,Edit
"Top Block","Top Block"
